Ticker,Status Akuisisi
LPLI,TIDAK ADA
LTLS,TIDAK ADA
MABA,TIDAK ADA
MAGP,TIDAK ADA
MAPB,TIDAK ADA
MARI,TIDAK ADA
MASB,TIDAK ADA
MAXI,TIDAK ADA
MAYA,TIDAK ADA
MBAP,TIDAK ADA
MCOL,TIDAK ADA
MDIY,TIDAK ADA
MDLN,TIDAK ADA
MDRN,TIDAK ADA
MEGA,TIDAK ADA
MENN,TIDAK ADA
MERK,TIDAK ADA
META,TIDAK ADA
MFMI,TIDAK ADA
MGLV,TIDAK ADA
MINE,TIDAK ADA
MITI,TIDAK ADA
MKNT,TIDAK ADA
MKPI,TIDAK ADA
MLBI,TIDAK ADA
MLIA,TIDAK ADA
MLPT,TIDAK ADA
MMLP,TIDAK ADA
MORA,TIDAK ADA
MPRO,TIDAK ADA
MPXL,TIDAK ADA
MRAT,TIDAK ADA
MREI,TIDAK ADA
MSTI,TIDAK ADA
MTFN,TIDAK ADA
MTLA,TIDAK ADA
MTMH,TIDAK ADA
MTPS,TIDAK ADA
MTRA,TIDAK ADA
MTSM,TIDAK ADA
MYOH,TIDAK ADA
MYTX,TIDAK ADA
NASA,TIDAK ADA
NASI,TIDAK ADA
NATO,TIDAK ADA
NELY,TIDAK ADA
NETV,TIDAK ADA
NFCX,TIDAK ADA
NICE,TIDAK ADA
NICK,TIDAK ADA
NINE,TIDAK ADA
NOBU,TIDAK ADA
NUSA,TIDAK ADA
OBAT,TIDAK ADA
OBMD,TIDAK ADA
OCAP,TIDAK ADA
OMRE,TIDAK ADA
PALM,TIDAK ADA
PANR,TIDAK ADA
PBID,TIDAK ADA
PBSA,TIDAK ADA
PDES,TIDAK ADA
PDPP,TIDAK ADA
PEHA,TIDAK ADA
PEVE,TIDAK ADA
PGJO,TIDAK ADA
PGUN,TIDAK ADA
PICO,TIDAK ADA
PJAA,TIDAK ADA
PLAS,TIDAK ADA
PLIN,TIDAK ADA
PMJS,TIDAK ADA
PMMP,TIDAK ADA
PNBS,TIDAK ADA
PNGO,TIDAK ADA
PNIN,TIDAK ADA
PNSE,TIDAK ADA
POLI,TIDAK ADA
POLL,TIDAK ADA
POLU,TIDAK ADA
POLY,TIDAK ADA
POOL,TIDAK ADA
PORT,TIDAK ADA
POSA,TIDAK ADA
PRAY,TIDAK ADA
PRDA,TIDAK ADA
PSAT,TIDAK ADA
PSGO,TIDAK ADA
PSSI,TIDAK ADA
PTDU,TIDAK ADA
PTMR,TIDAK ADA
PTPS,TIDAK ADA
PTPW,TIDAK ADA
PTSN,TIDAK ADA
PTSP,TIDAK ADA
PUDP,TIDAK ADA
PURE,TIDAK ADA
RAFI,TIDAK ADA
RANC,TIDAK ADA
RDTX,TIDAK ADA
REAL,TIDAK ADA
RIGS,TIDAK ADA
RIMO,TIDAK ADA
ROCK,TIDAK ADA
RODA,TIDAK ADA
RONY,TIDAK ADA
ROTI,TIDAK ADA
RSGK,TIDAK ADA
RUNS,TIDAK ADA
SAFE,TIDAK ADA
SAMF,TIDAK ADA
SBAT,TIDAK ADA
SCCO,TIDAK ADA
SCPI,TIDAK ADA
SDRA,TIDAK ADA
SFAN,TIDAK ADA
SGRO,TIDAK ADA
SHID,TIDAK ADA
SHIP,TIDAK ADA
SICO,TIDAK ADA
SILO,TIDAK ADA
SIMA,TIDAK ADA
SINI,TIDAK ADA
SIPD,TIDAK ADA
SKBM,TIDAK ADA
SKRN,TIDAK ADA
SKYB,TIDAK ADA
SMAR,TIDAK ADA
SMCB,TIDAK ADA
SMDM,TIDAK ADA
SMMA,TIDAK ADA
SMMT,TIDAK ADA
SMRU,TIDAK ADA
SOFA,TIDAK ADA
SOHO,TIDAK ADA
SONA,TIDAK ADA
SOSS,TIDAK ADA
SOTS,TIDAK ADA
SOUL,TIDAK ADA
SPTO,TIDAK ADA
SRAJ,TIDAK ADA
SRIL,TIDAK ADA
SSTM,TIDAK ADA
STTP,TIDAK ADA
SUGI,TIDAK ADA
SUNI,TIDAK ADA
SUPR,TIDAK ADA
SURE,TIDAK ADA
SWAT,TIDAK ADA
SWID,TIDAK ADA
TALF,TIDAK ADA
TAYS,TIDAK ADA
TBIG,TIDAK ADA
TBMS,TIDAK ADA
TCID,TIDAK ADA
TDPM,TIDAK ADA
TEBE,TIDAK ADA
TECH,TIDAK ADA
TELE,TIDAK ADA
TFCO,TIDAK ADA
TGKA,TIDAK ADA
TGRA,TIDAK ADA
TGUK,TIDAK ADA
TIFA,TIDAK ADA
TIRA,TIDAK ADA
TIRT,TIDAK ADA
TLDN,TIDAK ADA
TOPS,TIDAK ADA
TOTO,TIDAK ADA
TOYS,TIDAK ADA
TRAM,TIDAK ADA
TRIL,TIDAK ADA
TRIM,TIDAK ADA
TRIO,TIDAK ADA
TRUK,TIDAK ADA
TSPC,TIDAK ADA
UANG,TIDAK ADA
UCID,TIDAK ADA
ULTJ,TIDAK ADA
UNIC,TIDAK ADA
UNIT,TIDAK ADA
UNSP,TIDAK ADA
URBN,TIDAK ADA
VICI,TIDAK ADA
WEGE,TIDAK ADA
WICO,TIDAK ADA
